ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,AM078-001,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi1,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img924/403/qvJRhi.jpg,https://imagizer.imageshack.com/img922/664/euyxGU.jpg,https://imagizer.imageshack.com/img922/736/TQWM9T.jpg,https://imagizer.imageshack.com/img922/6663/T6Gwcn.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-002,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi2,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img923/8616/zAdXr4.jpg,https://imagizer.imageshack.com/img922/494/tNpH6v.jpg,https://imagizer.imageshack.com/img923/3794/6YhkO5.jpg,https://imagizer.imageshack.com/img923/9562/5Mq2es.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-003,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi3,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img924/5603/rhenWI.jpg,https://imagizer.imageshack.com/img923/4595/RZOEJn.jpg,https://imagizer.imageshack.com/img924/959/kpNAxr.jpg,https://imagizer.imageshack.com/img922/5047/KetJml.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-004,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi4,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img922/8205/UD1SBM.jpg,https://imagizer.imageshack.com/img922/8353/W2iCOr.jpg,https://imagizer.imageshack.com/img923/1208/ilYvWl.jpg,https://imagizer.imageshack.com/img922/1562/pf4keT.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-005,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi5,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img924/1096/XtXRkO.jpg,https://imagizer.imageshack.com/img924/4333/yBNlm0.jpg,https://imagizer.imageshack.com/img924/9278/FpEzIf.jpg,https://imagizer.imageshack.com/img924/4196/W5pVrK.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-006,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi6,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img923/4233/UYeXv7.jpg,https://imagizer.imageshack.com/img924/5308/khFIBR.jpg,https://imagizer.imageshack.com/img922/9804/BQDTgx.jpg,https://imagizer.imageshack.com/img924/3904/X0sCOZ.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-007,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi7,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img923/1691/5KBgXD.jpg,https://imagizer.imageshack.com/img924/1435/4BmAQs.jpg,https://imagizer.imageshack.com/img923/5043/MMavE8.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM078-008,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi8,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img923/1903/d879OD.jpg,https://imagizer.imageshack.com/img923/6913/HJ4M3P.jpg,https://imagizer.imageshack.com/img923/8308/pt8PbP.jpg,https://imagizer.imageshack.com/img923/9067/KRcsQU.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM079-001,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi9,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img922/6844/hxEvCi.jpg,https://imagizer.imageshack.com/img923/9494/xNlwUg.jpg,https://imagizer.imageshack.com/img924/6891/s27ofp.jpg,https://imagizer.imageshack.com/img922/3129/txYyyR.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,AM079-002,, Women's Rayon Printed Off-Shoulder Smocked Crop Top Short Sleeve Casual Styles Tank Top (FREE SIZE) Multi10,1,0,visible,"Turn heads with this chic off-shoulder smocked crop top. Featuring a flattering shirred fit, ruffled trim, and vibrant color, it’s perfect for pairing with high-waisted jeans, skirts, or shorts—ideal for both casual outings and dressy occasions.","Make a bold statement with this stunning off-shoulder crop top. The smocked fabric creates an elegant textured pattern with delicate detailing throughout. Its stretchy, shirred design ensures a comfortable and flattering fit while the ruffled trim adds a feminine touch. The off-shoulder neckline with short sleeves creates a romantic silhouette perfect for casual outings or dressy occasions. The cropped length pairs beautifully with high-waisted jeans, skirts, or shorts. The vibrant colour makes it an eye-catching piece for your wardrobe. The elasticated top and bottom hems provide secure wearing comfort. This versatile top can be dressed up or down depending on the occasion, making it a must-have fashion staple for the modern wardrobe. The lightweight fabric makes it ideal for warm weather, while the fitted silhouette flatters various body types.",,,taxable,,1,100,,0,0,,,,,1,,550,1100,Crop Top,,,"https://imagizer.imageshack.com/img923/4250/AunN2Z.jpg,https://imagizer.imageshack.com/img923/2664/qbJw9p.jpg,https://imagizer.imageshack.com/img922/9853/Wy4baR.jpg,https://imagizer.imageshack.com/img922/831/5fqiUj.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
