ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,RBH-01,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/4729/YUeH7p.png, https://imagizer.imageshack.com/img923/2517/HinxxP.png, https://imagizer.imageshack.com/img924/3143/oyuRyc.png, https://imagizer.imageshack.com/img922/9620/h5XlUE.png, https://imagizer.imageshack.com/img924/9641/r1BKhV.png, https://imagizer.imageshack.com/img922/8726/knHitF.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-02,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/8220/dAjglb.png, https://imagizer.imageshack.com/img922/5392/kY7wRJ.png, https://imagizer.imageshack.com/img923/5075/lmexZG.png, https://imagizer.imageshack.com/img924/3139/Kzq34l.png, https://imagizer.imageshack.com/img923/4787/jeJj8F.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-03,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img924/7959/1imX3P.png, https://imagizer.imageshack.com/img922/736/oGwzmu.png, https://imagizer.imageshack.com/img924/7152/bCk6VV.png, https://imagizer.imageshack.com/img922/7963/G64AVe.png, https://imagizer.imageshack.com/img922/853/DOGvnJ.png, https://imagizer.imageshack.com/img924/2363/oYk6Yh.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-04,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img924/1015/tLJGpk.png, https://imagizer.imageshack.com/img923/4320/cqSMAB.png, https://imagizer.imageshack.com/img922/2487/7jXhn4.png, https://imagizer.imageshack.com/img924/8650/2snGuF.png, https://imagizer.imageshack.com/img923/3527/KMzj6N.png, https://imagizer.imageshack.com/img922/6928/Jy4MoD.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-05,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/692/uFA9zU.png, https://imagizer.imageshack.com/img922/7766/pDbD0K.png, https://imagizer.imageshack.com/img923/3072/0YbNwH.png, https://imagizer.imageshack.com/img923/7881/aoS1mu.png, https://imagizer.imageshack.com/img923/3258/oT6pxa.png, https://imagizer.imageshack.com/img922/2863/398orJ.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-06,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/1969/paTK1P.png, https://imagizer.imageshack.com/img923/7379/NvPdrX.png, https://imagizer.imageshack.com/img923/935/6KhLg6.png, https://imagizer.imageshack.com/img924/6245/bquHUs.png, https://imagizer.imageshack.com/img923/1938/5PDpHW.jpg, https://imagizer.imageshack.com/img923/4994/WGmUaT.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-07,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/9181/aVl8CG.png, https://imagizer.imageshack.com/img923/7505/wfF2OJ.png, https://imagizer.imageshack.com/img924/239/6jSmJB.png, https://imagizer.imageshack.com/img923/4310/0d90gu.png, https://imagizer.imageshack.com/img922/6765/JiH364.png, https://imagizer.imageshack.com/img922/9880/AzY4BZ.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-08,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/9262/Fdf3as.png, https://imagizer.imageshack.com/img924/1475/PsYdQo.png, https://imagizer.imageshack.com/img922/4236/zoRgLO.png, https://imagizer.imageshack.com/img922/9180/HazTgS.png, https://imagizer.imageshack.com/img922/4227/ZQ2Uth.png, https://imagizer.imageshack.com/img922/803/iIBHF5.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-09,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/5928/cgQU0q.png, https://imagizer.imageshack.com/img922/7971/XsvbUT.png, https://imagizer.imageshack.com/img923/8148/Ehmg3Z.png, https://imagizer.imageshack.com/img923/1632/999OL9.png, https://imagizer.imageshack.com/img923/8615/sq0anm.png, https://imagizer.imageshack.com/img924/7750/bpUWtS.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-10,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/1450/iY4Fvn.png, https://imagizer.imageshack.com/img923/403/mZh2cG.png, https://imagizer.imageshack.com/img922/8726/4wnHYo.png, https://imagizer.imageshack.com/img924/7509/66WuAM.png, https://imagizer.imageshack.com/img924/7428/upPNk6.png, https://imagizer.imageshack.com/img922/9334/LHtkIP.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-11,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/6711/bbt9Qr.png, https://imagizer.imageshack.com/img924/389/5ENaF8.png, https://imagizer.imageshack.com/img923/8056/mhMkA8.png, https://imagizer.imageshack.com/img924/3630/dVMTsq.png, https://imagizer.imageshack.com/img923/1011/N95xxP.png, https://imagizer.imageshack.com/img924/8365/ORz5tr.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-12,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/3811/CVJIgY.png, https://imagizer.imageshack.com/img923/9428/DAGRhV.png, https://imagizer.imageshack.com/img923/8899/CtWx33.png, https://imagizer.imageshack.com/img924/4135/ptTlJN.png, https://imagizer.imageshack.com/img923/7613/RBL5L7.png, https://imagizer.imageshack.com/img922/1434/fR0zb9.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RBH-13,,5 PCS Circle Wall Painting,1,0,visible,"Bold, modern artwork that brings vibrant color and contemporary style to any space.","This stunning wall painting captures vibrant color contrasts and bold design elements, elevating any room with its modern artistic flair. The mix of abstract forms and textured details makes it a compelling focal point for living rooms, hallways, or creative spaces. Crafted with precision and passion, it reflects both artistic creativity and contemporary style — ideal for those wanting to infuse personality and energy into their decor.",,,taxable,,1,100,,0,0,,,,,1,,872,2799,5 PCS CIRCLE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/5964/iFLFDe.png, https://imagizer.imageshack.com/img922/4751/Gwfn8N.png, https://imagizer.imageshack.com/img922/7646/8b9ntl.png, https://imagizer.imageshack.com/img924/7172/Oajgff.png, https://imagizer.imageshack.com/img924/6033/SHtzkV.png, https://imagizer.imageshack.com/img924/7984/svW4X6.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
