ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,RP-3,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img923/4114/s242oS.png, https://imagizer.imageshack.com/img924/8647/gPthgX.jpg, https://imagizer.imageshack.com/img923/5305/B7CqGZ.jpg, https://imagizer.imageshack.com/img924/1030/U96YYl.jpg, https://imagizer.imageshack.com/img922/6979/kONN6T.jpg, https://imagizer.imageshack.com/img922/3702/OIyZJQ.png ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-5,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img922/4673/fzVegD.png, https://imagizer.imageshack.com/img924/8766/YqmvNi.jpg, https://imagizer.imageshack.com/img924/322/0G2NTv.png, https://imagizer.imageshack.com/img922/3756/7FA5Ik.jpg, https://imagizer.imageshack.com/img923/2995/HgqTSU.jpg, https://imagizer.imageshack.com/img924/9310/wQ6wkH.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-B1,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img922/4858/hDDd5d.png, https://imagizer.imageshack.com/img924/3391/tXvz09.jpg, https://imagizer.imageshack.com/img923/4475/vqAQwE.jpg, https://imagizer.imageshack.com/img922/9277/6WfRi6.jpg, https://imagizer.imageshack.com/img922/8349/v2ZUzq.png, https://imagizer.imageshack.com/img923/2217/6UYfmd.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-B2,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img922/3962/FhopAq.png, https://imagizer.imageshack.com/img923/7239/rVhRVq.jpg, https://imagizer.imageshack.com/img924/4789/3L19CS.png, https://imagizer.imageshack.com/img922/2091/m47GJO.jpg, https://imagizer.imageshack.com/img924/3503/0Vqqjf.jpg, https://imagizer.imageshack.com/img923/1405/IwC06n.png ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-CP1,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img923/7548/l8bQw3.jpg, https://imagizer.imageshack.com/img924/8373/SzmQTq.png, https://imagizer.imageshack.com/img922/2895/CCnNvB.jpg, https://imagizer.imageshack.com/img923/1433/pswemo.png, https://imagizer.imageshack.com/img923/963/68kmmu.jpg, https://imagizer.imageshack.com/img923/2342/V9pfQ8.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-D1,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img922/1598/QMUVZL.png, https://imagizer.imageshack.com/img924/6645/xqXIZM.png, https://imagizer.imageshack.com/img922/713/K3Uesp.png, https://imagizer.imageshack.com/img922/1999/XQMnkk.jpg, https://imagizer.imageshack.com/img923/9720/nbZMU7.jpg, https://imagizer.imageshack.com/img924/1095/BXeLHJ.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-G1,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img922/1598/QMUVZL.png, https://imagizer.imageshack.com/img924/6645/xqXIZM.png, https://imagizer.imageshack.com/img922/713/K3Uesp.png, https://imagizer.imageshack.com/img922/1999/XQMnkk.jpg, https://imagizer.imageshack.com/img923/9720/nbZMU7.jpg, https://imagizer.imageshack.com/img924/1095/BXeLHJ.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-G2,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img923/5782/jCSXHH.png, https://imagizer.imageshack.com/img923/284/SUKMNF.jpg, https://imagizer.imageshack.com/img922/9894/U01Wek.jpg, https://imagizer.imageshack.com/img923/3402/6Lbiax.png, https://imagizer.imageshack.com/img923/3786/7CN28S.jpg, https://imagizer.imageshack.com/img924/9093/WyJbOD.png ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-RK1,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img924/6061/LPI8FB.jpg, https://imagizer.imageshack.com/img923/1462/SzymVg.jpg, https://imagizer.imageshack.com/img922/5015/3IKIo6.jpg, https://imagizer.imageshack.com/img924/5940/L79e88.jpg, https://imagizer.imageshack.com/img923/7845/ciP09c.png, https://imagizer.imageshack.com/img924/8429/QbhvdP.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,RP-RK2,,Round Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1100,4199,ROUNDWALL PAINTING,,,"https://imagizer.imageshack.com/img923/5639/xi5Z7R.jpg, https://imagizer.imageshack.com/img922/7764/ezoTHV.png, https://imagizer.imageshack.com/img924/4504/a1BFtV.jpg, https://imagizer.imageshack.com/img924/5404/vk72ez.jpg, https://imagizer.imageshack.com/img924/8982/TBcl42.jpg, https://imagizer.imageshack.com/img923/7566/VKzUG8.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
