ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _eael_post_view_count,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,GG-01 A-M,,"Royal Purple Banarasi Silk Saree with Golden Zari & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Elevate your ethnic style with this royal purple Banarasi silk saree, featuring all-over golden zari motifs and a grand peacock-themed pallu in vibrant hues.","Crafted from premium silk, it is perfect for weddings, festive celebrations, and traditional events. Comes with a matching blouse piece.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/3924/8uTOIU.jpg, https://imagizer.imageshack.com/img922/5247/RC84c0.jpg, https://imagizer.imageshack.com/img924/456/kUuOgL.jpg, https://imagizer.imageshack.com/img922/9861/Yvf8Ja.jpg, https://imagizer.imageshack.com/img922/4493/VEaLDH.jpg, https://imagizer.imageshack.com/img922/7695/bkGNsr.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-02 A-M,,"Elegant Sage Green Banarasi Silk Saree with Golden Zari Motifs & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Drape yourself in timeless elegance with this sage green Banarasi silk saree, adorned with delicate golden zari motifs, floral border, and a majestic peacock pallu. Perfect for weddings, festive celebrations, and cultural occasions. Comes with a matching blouse piece.","The intricately woven floral border further elevates its grandeur, creating a perfect balance of richness and grace. The highlight of this masterpiece is its majestic pallu, designed with lifelike peacock motifs amidst a scenic landscape, rendered in vibrant hues that symbolize beauty, prosperity, and timeless artistry.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/5746/MbMvMV.jpg, https://imagizer.imageshack.com/img922/4113/B5SqMu.jpg, https://imagizer.imageshack.com/img924/2061/m5CufU.jpg, https://imagizer.imageshack.com/img922/9591/NtF5UY.jpg, https://imagizer.imageshack.com/img924/2513/QKBrWm.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-03 A-M,,"Lavender Banarasi Silk Saree with Golden Zari & Peacock Motif Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Enhance your ethnic elegance with this lavender Banarasi silk saree, featuring golden zari motifs, rich woven border, and a majestic peacock pallu. Perfect for weddings, festive events, and traditional gatherings. Comes with a matching blouse piece.","Step into timeless beauty with this Lavender Banarasi Silk Saree with Majestic Peacock Motif Pallu, a masterpiece that blends tradition with artistic elegance. Crafted from premium Banarasi silk, the saree boasts a soft, luminous texture that drapes gracefully, making it an ideal choice for special occasions.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/60/nQlp8N.jpg, https://imagizer.imageshack.com/img922/5818/RHhDPH.jpg, https://imagizer.imageshack.com/img923/4966/GTScmd.jpg, https://imagizer.imageshack.com/img922/8315/fDImMi.jpg, https://imagizer.imageshack.com/img924/413/5StxNu.jpg, https://imagizer.imageshack.com/img922/9192/FkVpIz.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-04 A-M,,"Rosewood Pink Banarasi Silk Saree with Golden Zari & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Step into regal elegance with this rosewood pink Banarasi silk saree, featuring golden zari floral motifs, ornate border, and a scenic peacock pallu. Perfect for weddings, festivals, and cultural events. Includes matching blouse piece.","Indulge in the grandeur of tradition with this Rosewood Pink Banarasi Silk Saree with Artistic Peacock Pallu, a true masterpiece of Indian craftsmanship. Made from premium Banarasi silk, the saree boasts a rich, lustrous texture that drapes effortlessly, radiating sophistication at every occasion.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/1838/I0DFPJ.jpg, https://imagizer.imageshack.com/img923/1009/hT67jL.jpg, https://imagizer.imageshack.com/img922/7091/ukmxvB.jpg, https://imagizer.imageshack.com/img923/4056/dFYVj7.jpg, https://imagizer.imageshack.com/img923/2474/StzQnn.jpg, https://imagizer.imageshack.com/img924/3074/OUX9R5.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-05 A-M,,"Elegant Sea Green Silk Saree with Golden Zari & Peacock Motif Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Step into elegance with this sea green silk saree, featuring gold zari floral weaving and a majestic peacock motif pallu. Perfect for weddings, parties, and festive occasions. Includes matching blouse piece.","Drape yourself in timeless beauty with this Elegant Sea Green Silk Saree with Peacock Motif Pallu, a perfect balance of luxury and tradition. Crafted from rich, smooth silk blend, the saree glows with its luminous texture and intricate detailing.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/851/uGPjo5.jpg, https://imagizer.imageshack.com/img923/9417/XDxLtE.jpg, https://imagizer.imageshack.com/img923/5499/oQGqe0.jpg, https://imagizer.imageshack.com/img922/7899/0kcRNr.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-06 A-M,,"Radiant Orange Silk Saree with Golden Zari & Peacock Pallu | Festive, Wedding & Traditional Wear",1,0,visible,"Add vibrance to your ethnic look with this orange silk saree, adorned with golden zari motifs, floral border, and a regal peacock pallu. Perfect for weddings, festive events, and cultural celebrations. Comes with a matching blouse piece.","Bring a splash of tradition and elegance to your wardrobe with this Radiant Orange Silk Saree with Peacock Pallu, a masterpiece of artistry and craftsmanship. Woven from a premium silk blend, the saree radiates festive charm with its bright orange hue and glossy texture.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/9063/vW9ZaG.jpg, https://imagizer.imageshack.com/img922/9306/SdJBfZ.jpg, https://imagizer.imageshack.com/img923/911/LVPC1D.jpg, https://imagizer.imageshack.com/img924/4647/C3n7xO.jpg, https://imagizer.imageshack.com/img923/2564/ClG4LV.jpg, https://imagizer.imageshack.com/img924/9752/6IjJ1y.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-07 A-M,,"Majestic Magenta Silk Saree with Silver Zari & Twin Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Stand out in elegance with this magenta silk saree, woven with silver zari motifs, floral border, and a twin peacock motif pallu. Perfect for weddings, festive occasions, and grand celebrations. Includes matching blouse piece.","Celebrate tradition and artistry with this Majestic Magenta Silk Saree with Peacock Pallu, a true statement of elegance and grandeur. Crafted from luxurious silk blend, the saree features a soft, glossy texture that drapes beautifully, making it ideal for special occasions.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/9596/Aii0TF.jpg, https://imagizer.imageshack.com/img922/9596/Aii0TF.jpg, https://imagizer.imageshack.com/img922/8219/yWm3aY.jpg, https://imagizer.imageshack.com/img924/8941/bN3U8s.jpg, https://imagizer.imageshack.com/img924/8976/CWIL22.jpg, https://imagizer.imageshack.com/img922/4358/zQobLC.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-08 A-M,,"Teal Banarasi Silk Saree with Golden Zari & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Drape yourself in elegance with this teal Banarasi silk saree, adorned with gold zari motifs, floral border, and a majestic peacock pallu. Perfect for weddings, festive occasions, and cultural gatherings. Comes with a matching blouse piece.","Celebrate tradition with grace in this Teal Banarasi Silk Saree with Majestic Peacock Pallu, a timeless creation that blends luxury and heritage. Crafted from premium Banarasi silk, the fabric shimmers with richness and drapes effortlessly, making it perfect for special occasions.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/2176/7GIjop.jpg, https://imagizer.imageshack.com/img923/8273/HYUHbZ.jpg, https://imagizer.imageshack.com/img922/8919/LKp2rd.jpg, https://imagizer.imageshack.com/img923/9978/4NxNBk.jpg, https://imagizer.imageshack.com/img924/4593/CRIB2E.jpg, https://imagizer.imageshack.com/img923/7463/zK2xpK.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-09 A-M,,"Emerald Green Banarasi Silk Saree with Golden Zari & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Step into elegance with this emerald green Banarasi silk saree, featuring gold zari motifs, a wide floral border, and a vibrant peacock pallu. Perfect for weddings, festive occasions, and grand celebrations. Comes with a matching blouse piece.","Indulge in the timeless luxury of this Emerald Green Banarasi Silk Saree with Artistic Peacock Pallu, crafted to embody grace, tradition, and artistry. Woven from soft, lustrous Banarasi silk, the saree drapes beautifully, radiating richness with every pleat.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/1008/aJc61S.jpg, https://imagizer.imageshack.com/img922/2694/7FKe8A.jpg, https://imagizer.imageshack.com/img922/4093/QOc4FP.jpg, https://imagizer.imageshack.com/img923/4163/idI7DT.jpg, https://imagizer.imageshack.com/img922/4369/lPsfpZ.jpg, https://imagizer.imageshack.com/img922/6982/SoWbnF.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-10 A-M,,"Cream & Pink Banarasi Silk Saree with Silver Zari | Wedding, Party & Traditional Wear | Elegant Banarasi Saree with Contrast Pallu",1,0,visible,"Grace your occasions with this cream and pink Banarasi silk saree, featuring silver zari block motifs, a rich temple-style pallu, and a striking contrast border. Perfect for weddings, parties, and religious ceremonies, complete with a matching blouse piece.","Step into royal elegance with this Cream and Pink Banarasi Silk Saree with Rich Silver Zari Weaving, designed for women who love timeless tradition with a touch of grandeur. The luxurious cream silk base is adorned with intricate silver zari block motifs, lending sophistication and heritage appeal.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/4374/MwU3nX.jpg, https://imagizer.imageshack.com/img923/3333/sknd2S.jpg, https://imagizer.imageshack.com/img924/5551/Y99JE4.jpg, https://imagizer.imageshack.com/img924/8664/ro8mHk.jpg, https://imagizer.imageshack.com/img923/5008/j8IGPp.jpg, https://imagizer.imageshack.com/img924/1502/pIYa9S.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
