ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,PWP-1,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/3388/fxGvKX.jpg, https://imagizer.imageshack.com/img924/5231/KzKxBr.jpg, https://imagizer.imageshack.com/img923/3494/yDzqa1.jpg, https://imagizer.imageshack.com/img922/1648/pLlU6s.jpg, https://imagizer.imageshack.com/img922/3946/n6qE5J.jpg, https://imagizer.imageshack.com/img922/1842/gla8md.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-2,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/1950/yeZKY7.jpg, https://imagizer.imageshack.com/img924/2093/hVde6O.jpg, https://imagizer.imageshack.com/img924/3840/efyymy.jpg, https://imagizer.imageshack.com/img923/212/oHo5xU.jpg, https://imagizer.imageshack.com/img923/8436/kpa6VE.jpg, https://imagizer.imageshack.com/img922/2756/KW4aj6.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-3,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/309/UhsKs3.jpg, https://imagizer.imageshack.com/img924/8048/OWJxaw.jpg, https://imagizer.imageshack.com/img922/3072/GxqWYg.jpg, https://imagizer.imageshack.com/img924/7215/cW3Pqx.jpg, https://imagizer.imageshack.com/img923/1371/SgQRWQ.jpg, https://imagizer.imageshack.com/img923/6084/jkUAER.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-4,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/826/1YLjYw.jpg, https://imagizer.imageshack.com/img922/9104/oCKQ5q.jpg, https://imagizer.imageshack.com/img922/102/d4brey.jpg, https://imagizer.imageshack.com/img924/2901/B8d0c2.jpg, https://imagizer.imageshack.com/img923/3348/m3OpCZ.jpg, https://imagizer.imageshack.com/img922/9480/cRssCC.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-5,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img922/5705/sYhQUz.jpg, https://imagizer.imageshack.com/img924/9708/A0p9Sf.jpg, https://imagizer.imageshack.com/img922/9711/bNbBR0.jpg, https://imagizer.imageshack.com/img923/2987/geBYtT.jpg, https://imagizer.imageshack.com/img923/5291/Kd9OTT.jpg, https://imagizer.imageshack.com/img923/1260/9bJSxv.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-6,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/9673/dfQNGX.jpg, https://imagizer.imageshack.com/img922/6628/4sMpJp.jpg, https://imagizer.imageshack.com/img922/4194/KPh3pK.jpg, https://imagizer.imageshack.com/img924/5033/ciQ4ap.jpg, https://imagizer.imageshack.com/img923/7912/1FsVjl.jpg, https://imagizer.imageshack.com/img922/7224/Iak9D9.jpg ",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-7,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img924/3733/tiY8w8.jpg, https://imagizer.imageshack.com/img924/4194/AiEikT.jpg, https://imagizer.imageshack.com/img923/6172/6NSP8e.jpg, https://imagizer.imageshack.com/img922/866/Xv654n.jpg, https://imagizer.imageshack.com/img923/4354/Cgg9qg.jpg, https://imagizer.imageshack.com/img923/6672/abrW8Y.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-8,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/521/ggfZGE.jpg, https://imagizer.imageshack.com/img924/7682/anRH3s.jpg, https://imagizer.imageshack.com/img923/1845/Y8A3CS.jpg, https://imagizer.imageshack.com/img924/7158/54X2UM.jpg, https://imagizer.imageshack.com/img922/4453/o7C2Ev.jpg, https://imagizer.imageshack.com/img923/6940/geNjye.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-9,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img923/1926/pf1rI1.jpg, https://imagizer.imageshack.com/img923/6621/MlWAuz.jpg, https://imagizer.imageshack.com/img923/879/eSwUMy.jpg, https://imagizer.imageshack.com/img923/8074/LG9D5s.jpg, https://imagizer.imageshack.com/img924/251/6B2Tiu.jpg, https://imagizer.imageshack.com/img922/5223/busFpb.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,PWP-10,,Pichwai Handmade Wall Painting,1,0,visible,"A harmonious blend of traditional artistry and modern design, this wall painting adds cultural richness to any space.","This captivating wall painting seamlessly blends traditional artistry with contemporary design, making it a perfect addition to any modern living space. Crafted with meticulous attention to detail, it features intricate patterns and vibrant colors that evoke a sense of harmony and cultural richness. Ideal for enhancing the ambiance of your home or office, this artwork serves as a testament to timeless craftsmanship and artistic expression.",,,taxable,,1,100,,0,0,,,,,1,,1149,4299,PICHWAI HANDMADE WALL PAINTING,,,"https://imagizer.imageshack.com/img924/8824/NviZdG.jpg, https://imagizer.imageshack.com/img922/507/cHsFHi.jpg, https://imagizer.imageshack.com/img922/1600/gmB5Q4.jpg, https://imagizer.imageshack.com/img924/8766/bhS5mH.jpg, https://imagizer.imageshack.com/img923/4776/JehM9f.jpg, https://imagizer.imageshack.com/img924/990/3sn5Of.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
